TimeStamp;FrequencyInvert1(Hz);VoltageInvert1(V);CurrentInvert1(A);ActivePowerInvert1(W);ReactivePowerInvert1(VAr);FrequencyInvert2(Hz);VoltageInvert2(V);CurrentInvert2(A);ActivePowerInvert2(W);ReactivePowerInvert2(VAr)
2021_05_08 03:55:39;50,13;223,79;0,13;-0,00;0,03;50,13;224,97;0,13;-0,00;0,03
2021_05_08 03:55:44;50,12;224,02;0,13;-0,00;0,03;50,12;225,13;0,13;-0,00;0,03
2021_05_08 03:55:49;50,15;223,88;0,13;-0,00;0,03;50,15;225,01;0,13;-0,00;0,03
2021_05_08 03:55:54;50,16;223,78;0,13;-0,00;0,03;50,16;224,94;0,13;-0,00;0,03
2021_05_08 03:55:59;50,17;223,90;0,13;-0,00;0,03;50,17;225,00;0,13;-0,00;0,03
2021_05_08 03:56:04;50,16;223,89;0,13;-0,00;0,03;50,16;225,02;0,13;-0,00;0,03
2021_05_08 03:56:09;50,15;223,83;0,13;-0,00;0,03;50,15;225,02;0,13;-0,00;0,03
2021_05_08 03:56:14;50,15;223,77;0,13;-0,00;0,03;50,15;224,94;0,13;-0,00;0,03
2021_05_08 03:56:19;50,14;223,87;0,13;-0,00;0,03;50,14;225,05;0,13;-0,00;0,03
2021_05_08 03:56:24;50,13;223,87;0,13;-0,00;0,03;50,13;225,05;0,13;-0,00;0,03
2021_05_08 03:56:29;50,13;223,82;0,13;-0,00;0,03;50,13;224,96;0,13;-0,00;0,03
2021_05_08 03:56:34;50,13;223,84;0,13;-0,00;0,03;50,13;224,99;0,13;-0,00;0,03
2021_05_08 03:56:39;50,15;223,82;0,13;-0,00;0,03;50,15;224,98;0,13;-0,00;0,03
2021_05_08 03:56:44;50,16;223,83;0,13;-0,00;0,03;50,16;224,94;0,13;-0,00;0,03
2021_05_08 03:56:49;50,15;223,88;0,13;-0,00;0,03;50,15;225,03;0,13;-0,00;0,03
2021_05_08 03:56:54;50,15;223,86;0,13;-0,00;0,03;50,15;225,02;0,13;-0,00;0,03
2021_05_08 03:56:59;50,16;223,89;0,13;-0,00;0,03;50,16;225,07;0,13;-0,00;0,03
2021_05_08 03:57:04;50,16;223,88;0,13;-0,00;0,03;50,15;225,05;0,13;-0,00;0,03
2021_05_08 03:57:09;50,16;223,98;0,13;-0,00;0,03;50,16;225,12;0,13;-0,00;0,03
